,text,rubric
2392,"Народный артист СССР  Юрий Башмет  и Русское концертное агентство запускают программу помощи музыкантам и композиторам, которые остались без работы из-за отмены концертов во время пандемии коронавируса. Об этом сообщает  ТАСС  со ссылкой на пресс-службу агентства. Жюри выберет 50 музыкантов-солистов, которые получат единовременную материальную выплату. Кроме того, 10 музыкантов пригласят поучаствовать в концертах и фестивалях, проводимых Башметом и Русским концертным агентством в течение следующего концертного сезона, с оплатой проезда, проживания и гонорара. Пятерым композиторами закажут сочинения для концертов в будущем сезоне. Чтобы принять участие в конкурсе, необходимо заполнить специальную форму на сайте Русского концертного агентства. Рассматривать заявки будут от музыкантов, живущих и работающих в России, с дипломом о высшем образовании по профильной специальности. «Мы уверены, что сегодняшняя тяжелая ситуация рано или поздно закончится, и очень важно, как мы все вместе пройдем через это непростое время», — отметили в агентстве и призвали всех поддержать музыкантов, оказавшихся в сложной жизненной ситуации.",Культура
2395,"Помощник министра  Евразийской экономической комиссии  (ЕЭК)  Сергея Глазьева   Сергей Ткачук  ответил на критику в адрес чиновника, которому ранее посоветовали снизить информационную активность. Его слова приводит издание «Подъем». «Никаких разговоров не было», — сказал Ткачук, назвав претензии со стороны  Центробанка  «зудом». «Если у них что-то там зудит, надо у них узнать, почему они так возбудились», — резюмировал помощник Глазьева. Ранее стало известно о письме,  направленном  ЦБ в адрес  Минэкономразвития . В нем говорилось об излишней информационной активности Глазьева, которую необходимо снизить. Письмо было направлено после того, как Глазьев несколько раз критиковал политику правительства и ЦБ. Последнему, в частности, следует регулировать курс рубля, считает бывший советник президента. Также он предлагал несколько мер для стабилизации ситуации, среди которых введение налога на обмен валюты.",Экономика
2397,"Российский мегапроект по строительству высокоскоростной магистрали (ВСМ) между Челябинском и Екатеринбургом заморозили из-за коронавируса, пишет «Коммерсантъ» со ссылкой на пресс-службу проекта. Отмечается, что перенос связан с необходимостью перенаправить расходы на более приоритетные нужды в условиях социально-экономического кризиса из-за коронавируса. Строительством ВСМ занимается хозяйственное партнерство «Уральская скоростная магистраль». Проект находится на стадии согласования. Реализовывать его планировали с 2021 по 2024 год. Согласно плану, протяженность трассы должна составить 220 километров. Стоимость строительства оценивается в 380 миллиардов рублей. Проект ВСМ не включен в федеральный план развития магистральной инфраструктуры, но входит в схему территориального планирования в области федерального транспорта. ВСМ между Челябинском и Екатеринбургом стала первым мегапроектом в России, реализация которого была отложена из-за пандемии коронавируса.",Экономика
2400,"Одно слово американского актера  Тома Круза  в фильме оценили в 7 тысяч долларов. Об этом сообщает портал CinemaBlend. Уточняется, что за каждые десять секунд работы на съемочной площадке артист получает более 200 тысяч долларов. Эти расчеты основывались на всех картинах, в которых Круз снялся за последние 40 лет. При этом Круз часто получает не только традиционный гонорар за фильм, но и процент от прибыли, которую принес тот или иной проект. На сайте приводятся данные и о других звездах. Так,  Курт Рассел  зарабатывает примерно 5,6 тысячи долларов за слово, а  Джонни Депп  — 4,8 тысячи долларов. В декабре 2019 года на сайте Just Jared  был опубликован  список знаменитостей с самыми высокими гонорарами. Лидером рейтинга стал  Киану Ривз , заработавший благодаря трилогии «Матрица» 250 миллионов долларов. На втором месте оказался  Брюс Уиллис , чья прибыль после выхода картины «Шестое чувство» составила 120 миллионов долларов. На третьем месте — Том Круз, которому кинолента «Война миров» принесла 100 миллионов.",Культура
2403,"Режиссер  Роман Романович Качанов , сын создателя мультфильма «Чебурашка» Романа Абелевича Качанова, порадовался продаже японцам прав на мультсериал. Его слова передает портал Kliker в четверг, 23 апреля. «Хорошо, что сейчас российские бездарные паразиты не могут сделать соответствующее их таланту и жадности ""говно-продолжение"". Уж лучше японцы. Хотя по уму ни тем, ни другим не стоило браться. Это не их уровень», — заявил Качанов. Режиссер напомнил, что был против продажи писателем Эдуардом Успенским, придумавшим Гену и Чебурашку, прав на героев японским мультипликаторам: «Но Успенский после смерти папы мухлевал как мог и права продал. Японцы не звери — они и ""Союзмультфильму"", и там мутным престарелым художникам что-то на жизнь подбросили». Ранее в четверг  сообщалось , что мультипликаторы из Японии выпустили короткометражку про Чебурашку с использованием 3D-технологий. Выход ленты приурочен к десятилетию со дня премьеры полнометражного японского фильма о Чебурашке, выпущенного в 2010-м. Успенский  умер  от рака в возрасте 80 лет в Москве в августе 2018 года. В 2003 году японская компания SP International выкупила у «Союзмультфильма» права на распространение в своей стране мультфильмов о приключениях персонажа из книг Успенского до 2023-го. 53-летний Роман Качанов — режиссер фильмов «ДМБ», «Даун Хаус», «Неваляшка».",Культура
2405,"Новый электрический пикап Tesla Cybertruck сможет какое-то время держаться на плаву. Об этом в своем Twitter-аккаунте  написал  глава компании  Илон Маск . Один из подписчиков спросил у Маска, можно ли будет на Tesla Cybertruck пересекать ручьи без опаски повредить машину. В ответ глава американского автопроизводителя заявил, что пикап сможет плавать «некоторое время». Tesla представила Cybertruck в ноябре 2019 года. Корпус автомобиля сделан из пуленепробиваемой стали, а окна выполнены из сверхпрочного стекла и полимерного композита. Главной особенностью автомобиля является футуристичный дизайн, резко отличающийся от аналогов. Выпуск автомобиля планируется начать в 2021 году. Ранее Маска уже  замечали  за рулем Cybertruck. В апреле стало известно, что несколько бывших сотрудников Tesla  передали  секретные данные компании стартапу Zoox. Автопроизводитель подал иск к Zoox, по решению суда тот должен выплатить компенсацию, однако ее размер не разглашается. На фоне пандемии коронавируса в Tesla начались увольнения сотрудников, а главный завод компании в США  приостановил  работу.",Экономика
2408,"Российская легкоатлетка  Дарья Клишина  рассказала о разнице в системах подготовки спортсменов США и России. Прямой эфир в  YouTube  был организован Департаментом спорта Москвы. 29-летняя прыгунья призналась, что ни разу не пожалела о переезде в США. Спортсменка отметила, что американская система подготовки атлетов существенно отличается от российской. Одной из особенностей Клишина назвала отказ от достижения пиковой формы спортсменов зимой, что практикуется в России. Она отдельно отметила длительность разминки в американских тренировках. «Когда я приехала в США, для меня разминка была такой же, как и тренировка», — отметила она. Кроме того, Клишина подчеркнула, что американским спортсменкам можно пользоваться телефонами во время занятий. Атлеты таким образом могут ознакомиться с очередностью упражнений. Клишина переехала в США в 2013 году и с тех пор живет и тренируется там. 29-летняя спортсменка — двукратная чемпионка Европы и серебряный призер чемпионата мира 2017 года.",Спорт
2416,"Российскую балерину  Анастасию Волочкову  обокрали на десятки тысяч рублей. Об этом она сообщила в беседе с изданием «Комсомольская правда». По словам артистки, ей пришло уведомление, что с ее карты списали 192,5 тысячи рублей. Ей посоветовали обратиться к судебным приставам для решения вопроса, однако они не стали отвечать на ее звонки. «У меня не было никаких долгов и судов. Журналисты постоянно следят за мной, сразу бы вскрылось, если бы за мной числился какой-то долг», — возмутилась балерина. Она заявила, что ее оставили без денег на еду на период самоизоляции. Артистка предположила, что стала жертвой мошенников. Ранее Волочкова  рассказала  о своей диете на время самоизоляции. Она ест салатные листья и вареные яйца. В другой вариант меню входят острый овощной суп и немного вареной курицы без соли. «Я и в ресторанах всегда заказываю зеленый салатик и легкую еду. Например, сашими или тартар из рыбки.😊 Так что, сидя дома, особо не наедайтесь🙏 Чтобы не набрать вес без движения🐣», — порекомендовала балерина.",Культура
2418,"Новые проблемы с нефтью возникли у США. Объемы сырья, которое хранится в танкерах у западного побережья в районе Калифорнии, достигли рекордных 20 миллионов баррелей, пишет  Bloomberg . Почти 30 танкеров служат плавучими хранилищами, так как на фоне пандемии коронавируса многие нефтеперерабатывающие заводы остановлены. Из-за падения спроса на сырье судам некуда идти, 22 из них дрейфуют около западного побережья уже как минимум неделю. Так происходит не только в Калифорнии. Танкер Seaexpress месяц вынужден находиться в заливе Пьюджет-саунд (штат Вашингтон). В нем находится нефть для  компании Royal Dutch Shell  Plc. Цена на майский фьючерс американской марки WTI 20 апреля падала почти до минус 40 долларов за баррель. Эксперты указывают, что причиной этого стало переполнение хранилищ нефти по всему миру. Ранее стало известно, что в Белом доме  планируют  покупать недобытую нефть. Власти готовы заплатить компаниям, но просят их временно не извлекать сырье. Они ожидают, что такая политика позволит не допустить переполнение хранилищ и убрать с рынка до двух миллионов баррелей в сутки на полгода. Также накануне президент  Дональд Трамп  дал распоряжение разработать план по финансовой помощи нефтяным компаниям. О каких-либо деталям этого плана он не сообщил.",Экономика
2425,"Стриминговый сервис  Netflix  установил рекорд благодаря пандемии коронавируса. Об этом сообщает издание The Verge. За первый квартал на фоне пандемии у платформы появилось 15,8 миллиона новых подписчиков, в то время как сама компания прогнозировала, что прирост составит около 7,2 миллиона. В настоящее время Netflix пользуются 182 миллиона юзеров по всему миру. Несмотря на рекорд, в своем письме к акционерам представители сервиса отметили, что после карантина рост замедлится. «Как и другие домашние развлекательные сервисы, мы временно наблюдаем более высокий уровень просмотров и рост числа подписчиков. В нашем случае это компенсируется резким укреплением доллара США, что снижает наши международные доходы», — говорится в обращении. Другой проблемой для Netflix стало то, что из-за пандемии было приостановлено производство многих новых проектов. Уточняется, что именно оригинальные фильмы и шоу являются одними из конкурентных преимуществ сервиса. В конце 2019 года Netflix  опубликовал  списки самых популярных фильмов и сериалов года. В США в тройку лучших сериалов вошли «Очень странные дела», «Ведьмак» и «Академия ""Амбрелла""». Среди картин американцы выбрали «Загадочное убийство». На втором месте оказалась лента «Шестеро вне закона», а на третьем — «Суперсемейка 2».",Культура
2429,"Бывший боец смешанного стиля (MMA) и киноактер  Олег Тактаров  в  Instagram  отреагировал на жесткие оскорбления от бойца MMA  Александра Емельяненко . «Сегодня умер один бывший боец… Умер в моих глазах… Возможно, его очень попросили это записать… Возможно. Но теперь уже все равно. Он умер», — написал Тактаров и прикрепил к посту отрывок из фильма «Рэмбо: Первая кровь». Ранее 21 апреля Емельяненко записал видео, в котором  оскорбил  Тактарова за критику кавказского народа. Он назвал бывшего бойца «проституткой и гондоном». Тактаров известен по выступлениям в UFC. Он становился победителем шестого турнира организации, одолев в финале американца Тэнка Эббота. Кроме того, россиянину удалось построить актерскую карьеру в США. Он снялся в таких фильмах, как «15 минут славы» и «Хищники».",Спорт
2432,"Нефтяным компаниям, которые сейчас стараются не допустить дальнейшего падения цен, следует смириться и хранить нефть в земле. Такое мнение в интервью принадлежащему  Григорию Березкину   РБК  высказал совладелец «Альфа-групп» и европейской нефтегазовой компании Wintershall Dea  Герман Хан . По его мнению, любые попытки вернуть стоимость сырья на приемлемый уровень запоздали, потому что нефтяные хранилища уже переполнены, а спрос на сырье из-за эпидемии коронавируса резко сократился. Хан уверен, что снижение добычи случится автоматически и, если стороны будут делать вид, что договариваются, это будет означать только иллюзию контроля над ситуацией. Он отказался делать прогноз на продолжительность такой ситуации. Спустя сутки после падения майских фьючерсов на американскую нефть WTI до минус 40 долларов за баррель вслед за ней последовали и остальные контракты. Июньские фьючерсы (основа для определения цены нефти в конце апреля) на WTI опустились до 11 долларов за баррель, а на Brent — 19 долларов. Трейдеры опасаются, что спустя месяц нефть хранить по-прежнему будет негде и они понесут еще большие убытки. На этом фоне Саудовская Аравия решила  ограничить  добычу, не дожидаясь 1 мая, как предполагает сделка ОПЕК+. Также королевство намерено в экстренном порядке  созвать  новое совещание, чтобы обсудить дальнейшее сокращение. В королевстве не исключили, что все меры уже запоздали. Президент США  Дональд Трамп   анонсировал  масштабный пакет помощи нефтяным компаниям, который, по всей видимости, предусматривает ограничение добычи. В России, после того как нефтяные компании с трудом договорились о квоте, которая должна вступить в силу 1 мая, назвали падение нефтяных котировок  спекуляцией  и картельным  сговором . На этом фоне исполнительный директор  «Нафтогаза»   Юрий Витренко   предложил  экспортерам нефти, за исключением России, оставить нефть в украинских хранилищах.",Экономика
2434,"После введения режима самоизоляции на 70 процентов увеличилось число новых пользователей платформы МТС Smart University и сервиса бизнес-образования «МТС Университет», а 34 процента постоянных клиентов стали заниматься чаще. Об этом говорится в сообщении МТС. Как показал опрос пользователей, 48 процентов рассчитывают применить свои знания после того, как экономика начнет восстанавливаться. Еще 20 процентов ожидают, что международные компании начнут удаленный рекрутинг и готовятся к карьерному рывку, а еще 20 процентов боятся потерять конкурентоспособность на рынке труда, если не будут заниматься самообразованием. Среди дисциплин, которые респонденты считают необходимым изучать, чтобы преуспеть на рынке труда, на первом месте стоит английский язык, далее следуют разделы знаний, связанные с IT и финансами. Также в компании отметили рост спроса на онлайн-обучение среди школьников: число учащихся на программах подготовки к ЕГЭ и ОГЭ по английскому языку, математике и русскому языку на платформе SmartUniversity за последний месяц увеличилось в 2 раза. «С одной стороны, рост числа старшеклассников среди наших учеников обусловлен сезонностью — школьники продолжают готовиться к итоговым экзаменам несмотря ни на что. Но с другой стороны, мы видим, что количество взрослых учеников тоже растет. Мы связываем это с влиянием экономических обстоятельств и изменением образа жизни: у людей появилась и дополнительная мотивация, и свободное время, чтобы активно изучать английский язык», — комментирует руководитель SmartUniversity  Ярослав Смирнов . Главным критерием, по которым респонденты выбирают онлайн-курсы, является качество образовательного контента — с этим согласны 70 процентов опрошенных. Известность спикера, читающего курс, является определяющей лишь для 29 процентов. При этом, каждый второй готов при выборе опираться на рекомендации друзей и отзывы в социальных сетях. Smart University  — сервис МТС для дистанционного образования, на базе которого осуществляются индивидуальные и групповые занятия для взрослых – по английскому языку, а для учеников  5-11 классов  по русскому, математике и английскому языку. Обучение проходит на цифровой платформе через мобильное приложение или сайт сервиса. МТС Университет  — цифровая среда комплексного бизнес-образования, включающая в себя карьерные онлайн-курсы, корпоративное обучение, школу продуктового дизайна, тренинги.",Экономика
2435,"Нападающий миланского «Интера» Ромелу Лукаку рассказал, что в январе этого года одновременно 23 игрока команды почувствовали симптомы коронавирусной инфекции. Его слова приводит Football Italia. Лукаку заявил, что после декабрьской паузы 23 из 25 игроков были больны. «Все кашляли, у всех была повышенная температура. Когда я разминался, чувствовал жар. До этого у меня годами не поднималась температура. Во время матча один из наших защитников вынужден был покинуть поле, так как почти упал в обморок», — вспомнил он. Футболист отметил, что из-за отсутствия тестов на вирус точный диагноз установить уже невозможно. Из-за пандемии коронавируса в большинстве футбольных турниров наступила пауза. В частности, чемпионат Италии был прерван в марте. Тогда же стало известно, что трое игроков туринского «Ювентуса» — Блез Матюиди, Даниэле Ругани и Пауло Дибала — заболели коронавирусной инфекцией. Дибала рассказал о тяжелом течении болезни. По его словам, он с трудом дышал и чувствовал боль в мышцах. Все они  вылечились . Лукаку перешел в итальянский клуб из английского « Манчестер Юнайтед » летом 2019-го. В этом сезоне он провел за команду 35 матчей во всех турнирах и забил 23 мяча.",Спорт
2438,"Долги по зарплате в России оказались неизмеримыми, следует из  материалов   Росстата , опубликованных на сайте ведомства. В сообщении говорится, что сложности в подсчетах связаны с объявленным в России с 28 марта по 30 апреля режимом нерабочих дней, из-за которого некоторые предприятия временно прекратили деятельность. «В связи с этим темпы роста (снижения) суммарной задолженности по заработной плате на 1 апреля 2020 года по сравнению с предыдущим периодом не рассчитывались в силу неполной сопоставимости данных», — говорится в сообщении. По состоянию на 1 апреля суммарная задолженность по зарплате в стране составила 2,1 миллиарда рублей. Из них 642,4 миллиона приходится на долги, образовавшиеся в 2020 году.",Экономика
2439,"Стоимость июньского фьючерса на американскую нефть WTI упала до 11 долларов за баррель в ходе торгов во вторник, 21 апреля, на Лондонской бирже ICE. Об этом свидетельствуют данные торговой площадки. К 19:48 по московскому времени цена на сырье падала до 11,08 доллара. Это на 46 процентов ниже уровня предыдущей торговой сессии. Стоимость контракта на июньскую поставку европейской нефти Brent к 19:48  опустилась  ниже 19 долларов за баррель. Накануне цены на майский фьючерс на WTI становились отрицательными. Впервые в истории стоимость контракта  опустилась  до минус 40 доллара за баррель. Паническая распродажа произошла в последний торговый день перед истечением контракта. Падению цен способствовали негативные настроения из-за переполненности нефтяных хранилищ на фоне низкого спроса в связи с пандемией коронавируса.",Экономика
2440,"Президент США  Дональд Трамп  пообещал выделить дополнительные деньги на поддержку нефтяной отрасли. Об этом он  заявил  в своем Twitter-аккаунте. «Мы никогда не подведем великую индустрию нефти и газа США. Я поручил министру энергетики [Дэну Бруйетту] и министру финансов [ Стивену Мнучину ] разработать план, который предоставит средства для того, чтобы поддержать эти очень важные компании и сохранить рабочие места», — написал глава Белого дома. В понедельник, 20 апреля, цена на майский фьючерс американской марки WTI  падала  почти до минус 40 долларов за баррель. Обрушение котировок было связано с опасениями по поводу переполнения хранилищ нефти. Однако Трамп  заявил , что падение будет краткосрочным, а в течение месяца цена на нефть может вырасти до 25-28 долларов за баррель. Однако и такой уровень цен делает нерентабельным добычу на многих сланцевых месторождениях и ведет к банкротству компаний. Ранее стало известно, что в Белом доме  планируют  платить за недобытую нефть. Правительство хочет выкупать запасы нефти у компаний, но просит производителей их не извлекать. Это позволит не допустить переполнение хранилищ и на полгода убрать с рынка до двух миллионов баррелей в сутки. Другим предложением стал  запрет  на импорт саудовской нефти, которая в апреле увеличила поставки на американские нефтеперерабатывающие заводы в четыре раза.",Экономика
2443,"Президент и председатель правления  Сбербанка   Герман Греф  в эксклюзивном  интервью  главе комитета  Госдумы  по бюджету и налогам  Андрею Макарову  на  «Ленте.ру»  прокомментировал идею введения налога на проценты по вкладам. «Я не большой любитель налогов вообще. Я не считаю, что налоги должны расти. И если вы спрашиваете мою точку зрения, то я бы не вводил такой налог», — признался  Греф. По его словам, потенциальные минусы от введения нового налога, в том числе сложности при администрировании, превышают возможные плюсы. При этом Греф отметил, что аналогичный налог существует во многих странах мира, на опыт которых опирались российские власти. Однако, по его словам, нынешний момент не подходит для подобных мер увеличения доходов бюджета. В конце марта в обращении к населению президент  Владимир Путин  анонсировал введение налога на доходы по вкладам физических лиц. Позже стало известно, что речь идет о расширении налоговой базы по налогу на доходы физических лиц со ставкой 13 процентов. Взиматься налог будет с 2022 года с доходов по банковским вкладам, превышающим произведение от перемножения миллиона рублей и ключевой ставки  ЦБ  на начало года, для которого исчисляется величина налога. Эксклюзивное интервью главы Сбербанка Германа Грефа председателю комитета Госдумы по налогам и бюджету Андрею Макарову  вышло  на «Ленте.ру»,  «Газете.Ru» , в изданиях Rambler Group и платформе онлайн-кинотеатра Okko 21 апреля.",Экономика
2445,"Премьер-министр Баварии  Маркус Зедер  назвал 9 мая возможной датой возобновления сезона в немецкой Бундеслиге. Об этом сообщает  Die Welt. По словам чиновника, нужно быть очень осторожным при принятии подобных решений. Он отметил, что проведение футбольных матчей в ближайшее время возможно только при пустых трибунах. Присутствие зрителей на играх Зедер назвал легкомыслием. В конце марта сообщалось, что футболисты, выступающие в Бундеслиге, массово пошли на снижение зарплат из-за паузы в чемпионате, вызванной пандемией коронавируса. Отмечалось, что это позволит сохранить работу многим сотрудникам клубов. Большинство футбольных лиг приостановило розыгрыши из-за распространения коронавируса. В Германии количество инфицированных составляет более 145 тысяч человек, умерших от COVID-19 — более 4,5 тысячи.",Спорт
2447,"Цена российской нефти достигла отрицательных значений. Об этом свидетельствуют данные торгов. Стоимость Urals упала до минус 2 долларов за баррель. Ранее  сообщалось , что американская нефть поставила рекорд отрицательной стоимости. Согласно данным торгов, цена WTI упала почти до минус 40 долларов за баррель. Стоимость майских контрактов на поставку WTI опустилась до минимума с конца прошлого века. Отдельные техасские компании начали распродавать сырье по два доллара.",Экономика
2449,"Группа «Черкизово» , крупнейший производитель мяса в России, запустила ряд программ по оказанию помощи гражданам России в период пандемии коронавируса. Компания присоединилась к благотворительному проекту помощи пожилым людям #МыВместе, организованной Общероссийским народным фронтом при поддержке фонда Росконгресс, волонтерских организаций и «Ростелеком». Об этом  «Ленте.ру»  рассказали в пресс-службе группы компаний «Черкизово». Цель проекта — обеспечить пожилых людей в разных регионах страны всем необходимым в период самоизоляции. Волонтеры доставляют пенсионерам на дом продукты питания и лекарства, оказывают помощь в решении бытовых проблем. Группа «Черкизово» выступила одним из финансовых партнеров проекта. Выделенные компанией средства будут направлены на закупку необходимых товаров: одноразовые медицинские маски и перчатки, антисептики, бумагу для принтеров и многое другое. «Сегодня из-за ситуации с распространением коронавируса огромное количество людей во всем мире живут в самоизоляции. В это трудное время в особом внимании со стороны общества нуждаются люди старшего поколения, которым категорически противопоказано выходить из дома: для их здоровья новое заболевание предоставляет наибольшую опасность. Поэтому мы рады поддержать проект #МыВместе», — отметила руководитель управления по работе с госорганами и общественными организациями группы «Черкизово»  Анастасия Михайлова . Кроме того, компания приняла решение оказать продовольственную помощь малообеспеченнным гражданам и многодетным семьям в нескольких регионах присутствия компании. Так, в апреле группа «Черкизово» передала около 6 тонн свинины Елецкому мясокомбинату в Липецкой области для последующего изготовления партий тушенки, которая затем войдет в состав продовольственных наборов для малоимущих жителей области. В ряд других регионов компания направит в подарок жителям продукцию мясопереработки. В частности, «Черкизово» выделило более 8,6 тысячи батонов сырокопченой колбасы для малообеспеченных жителей Воронежской области. Еще 5 тысяч батонов продукции компания направит многодетным семьям в Московской области, и 7 тысяч колбас — для врачей Московского региона. В Пензенской области компания окажет поддержку местному зоопарку. Группа «Черкизово» на постоянной основе участвует в различных социальных проектах и благотворительных акциях в регионах своего присутствия. Ситуация с коронавирусом — возможность дополнительно поддержать жителей, которые сейчас остро нуждаются в помощи бизнеса. «Черкизово» присоединилась к международной акции «Оставайтесь дома» (Stay Home) — временно изменив свой фирменный логотип, поместив его в «домик». Как отмечают в «Черкизово», новый логотип — это призыв проявить в период пандемии терпение и ответственность и не покидать свои дома без крайней необходимости. «Для нашей компании дом — это еще и символ заботы о своих потребителях. Тысячи сотрудников Группы «Черкизово» продолжают ежедневно трудиться в разных частях нашей страны, обеспечивая бесперебойный выпуск продукции для вас и ваших семей. Мы обещаем сделать все от нас зависящее, чтобы производить достаточное количество качественных мясных продуктов», — подчеркивает Анастасия Михайлова.  ",Экономика
